host,engine,workload,variant,rows,ops,wall_s,cpu_s,cpu_wall_ratio,ops_per_s
bench-ci,sqlite,point_lookup,plaintext,100000,20000,0.049779,0.049672,0.998,401776.3
bench-ci,sqlite,scan_agg,plaintext,100000,50,0.197571,0.197175,0.998,253.1
bench-ci,sqlite,insert_one,plaintext,20000,20000,8.679638,0.680924,0.078,2304.2
bench-ci,sqlite,insert_batch,plaintext,100000,100000,0.085486,0.082801,0.969,1169783.1
bench-ci,sqlite,commit_n,plaintext,500,500,0.212648,0.020300,0.095,2351.3
bench-ci,sqlocaml,point_lookup,plaintext,100000,20000,0.180567,0.180104,0.997,110762.2
bench-ci,sqlocaml,scan_agg,plaintext,100000,50,2.140334,2.255472,1.054,23.4
bench-ci,sqlocaml,insert_one,plaintext,20000,20000,24.366143,11.832358,0.486,820.8
bench-ci,sqlocaml,insert_batch,plaintext,100000,100000,7.824430,7.760330,0.992,12780.5
bench-ci,sqlocaml,commit_n,plaintext,500,500,0.583518,0.318568,0.546,856.9
bench-ci,sqlocaml,point_lookup,encrypted,100000,20000,0.225169,0.224512,0.997,88822.2
bench-ci,sqlocaml,scan_agg,encrypted,100000,50,2.452158,2.572173,1.049,20.4
bench-ci,sqlocaml,insert_one,encrypted,20000,20000,25.776683,14.343486,0.556,775.9
bench-ci,sqlocaml,insert_batch,encrypted,100000,100000,7.853878,7.782388,0.991,12732.6
bench-ci,sqlocaml,commit_n,encrypted,500,500,0.685720,0.405224,0.591,729.2
