host,engine,workload,variant,rows,ops,wall_s,cpu_s,cpu_wall_ratio,ops_per_s
here,sqlite,point_lookup,plaintext,5000,500,0.001323,0.001325,1.002,377933.3
here,sqlite,scan_agg,plaintext,5000,20,0.004550,0.004527,0.995,4395.4
here,sqlite,insert_one,plaintext,500,500,55.300148,0.083446,0.002,9.0
here,sqlite,insert_batch,plaintext,5000,5000,0.066937,0.008269,0.124,74697.1
here,sqlite,commit_n,plaintext,50,50,4.674723,0.009500,0.002,10.7
here,sqlocaml,point_lookup,plaintext,5000,500,25.597326,25.581072,0.999,19.5
here,sqlocaml,scan_agg,plaintext,5000,20,1.046169,1.042103,0.996,19.1
here,sqlocaml,insert_one,plaintext,500,500,115.602726,57.454186,0.497,4.3
here,sqlocaml,insert_batch,plaintext,5000,5000,242.964008,240.334515,0.989,20.6
here,sqlocaml,commit_n,plaintext,50,50,12.646283,6.489757,0.513,4.0
here,sqlocaml,point_lookup,encrypted,5000,500,50.311445,50.282964,0.999,9.9
here,sqlocaml,scan_agg,encrypted,5000,20,1.941966,1.941320,1.000,10.3
here,sqlocaml,insert_one,encrypted,500,500,126.102558,60.583181,0.480,4.0
here,sqlocaml,insert_batch,encrypted,5000,5000,257.406499,242.069272,0.940,19.4
here,sqlocaml,commit_n,encrypted,50,50,17.131846,7.826533,0.457,2.9
