host,engine,workload,variant,rows,ops,wall_s,cpu_s,cpu_wall_ratio,ops_per_s
otp-infra-1-hdd,sqlite,point_lookup,plaintext,2000,1000,0.003322,0.003323,1.000,301012.2
otp-infra-1-hdd,sqlite,scan_agg,plaintext,2000,10,0.000946,0.000948,1.002,10570.3
otp-infra-1-hdd,sqlite,insert_one,plaintext,1000,1000,71.132934,0.158523,0.002,14.1
otp-infra-1-hdd,sqlite,insert_batch,plaintext,2000,2000,0.053923,0.003193,0.059,37090.0
otp-infra-1-hdd,sqlite,commit_n,plaintext,500,500,13.778072,0.060424,0.004,36.3
otp-infra-1-hdd,sqlocaml,point_lookup,plaintext/full,2000,1000,0.005019,0.005022,1.001,199244.9
otp-infra-1-hdd,sqlocaml,scan_agg,plaintext/full,2000,10,0.012307,0.013409,1.090,812.5
otp-infra-1-hdd,sqlocaml,insert_one,plaintext/full,1000,1000,89.446573,4.170581,0.047,11.2
otp-infra-1-hdd,sqlocaml,insert_batch,plaintext/full,2000,2000,0.688540,0.398722,0.579,2904.7
otp-infra-1-hdd,sqlocaml,commit_n,plaintext/full,500,500,42.778897,2.168346,0.051,11.7
otp-infra-1-hdd,sqlocaml,point_lookup,plaintext/batched-n256-t100ms,2000,1000,0.004022,0.004025,1.001,248625.0
otp-infra-1-hdd,sqlocaml,scan_agg,plaintext/batched-n256-t100ms,2000,10,0.010240,0.011022,1.076,976.6
otp-infra-1-hdd,sqlocaml,insert_one,plaintext/batched-n256-t100ms,1000,1000,9.833330,3.456391,0.351,101.7
otp-infra-1-hdd,sqlocaml,insert_batch,plaintext/batched-n256-t100ms,2000,2000,1.002088,0.424551,0.424,1995.8
otp-infra-1-hdd,sqlocaml,commit_n,plaintext/batched-n256-t100ms,500,500,6.199859,2.010690,0.324,80.6
otp-infra-1-hdd,sqlocaml,point_lookup,plaintext/off,2000,1000,0.007812,0.007816,1.001,128007.8
otp-infra-1-hdd,sqlocaml,scan_agg,plaintext/off,2000,10,0.012655,0.013820,1.092,790.2
otp-infra-1-hdd,sqlocaml,insert_one,plaintext/off,1000,1000,8.179981,3.427084,0.419,122.2
otp-infra-1-hdd,sqlocaml,insert_batch,plaintext/off,2000,2000,0.385900,0.385302,0.998,5182.7
otp-infra-1-hdd,sqlocaml,commit_n,plaintext/off,500,500,5.019741,2.004997,0.399,99.6
