host,engine,workload,variant,rows,ops,wall_s,cpu_s,cpu_wall_ratio,ops_per_s
otp-prod-1,sqlite,point_lookup,plaintext,5000,500,0.001746,0.001748,1.001,286339.7
otp-prod-1,sqlite,scan_agg,plaintext,5000,20,0.002742,0.002742,1.000,7293.8
otp-prod-1,sqlite,insert_one,plaintext,500,500,4.268673,0.126122,0.030,117.1
otp-prod-1,sqlite,insert_batch,plaintext,5000,5000,0.022344,0.014179,0.635,223775.0
otp-prod-1,sqlite,commit_n,plaintext,50,50,0.463024,0.013231,0.029,108.0
otp-prod-1,sqlocaml,point_lookup,plaintext,5000,500,13.366658,13.365608,1.000,37.4
otp-prod-1,sqlocaml,scan_agg,plaintext,5000,20,0.548496,0.548458,1.000,36.5
otp-prod-1,sqlocaml,insert_one,plaintext,500,500,36.327586,31.574939,0.869,13.8
otp-prod-1,sqlocaml,insert_batch,plaintext,5000,5000,119.227976,119.105523,0.999,41.9
otp-prod-1,sqlocaml,commit_n,plaintext,50,50,3.735146,3.181712,0.852,13.4
otp-prod-1,sqlocaml,point_lookup,encrypted,5000,500,30.055285,30.053005,1.000,16.6
otp-prod-1,sqlocaml,scan_agg,encrypted,5000,20,1.185886,1.185839,1.000,16.9
otp-prod-1,sqlocaml,insert_one,encrypted,500,500,38.492183,33.539951,0.871,13.0
otp-prod-1,sqlocaml,insert_batch,encrypted,5000,5000,118.391317,118.268531,0.999,42.2
otp-prod-1,sqlocaml,commit_n,encrypted,50,50,4.306399,3.701038,0.859,11.6
